Taxon	color
Agaricus	#7FC97F
Amanita	#BEAED4
Archaeorhizomyces	#FDC086
Aspergillus	#FFFF99
Cenococcum	#386CB0
Chaetomium	#F0027F
Ciliophora	#BF5B17
Clavispora/Candida clade	#666666
Clavulina	#1B9E77
Colletotrichum	#D95F02
Cortinarius	#7570B3
Craterellus	#E7298A
Dichomitus	#66A61E
Diplodia	#E6AB02
Diplotomma	#A6761D
Elaphomyces	#666666
Endocarpon	#A6CEE3
Enterocytozoon	#1F78B4
Exophiala	#B2DF8A
Fomitiporia	#33A02C
Fonsecaea	#FB9A99
Fusarium	#E31A1C
Glarea	#FDBF6F
Gloeophyllum	#FF7F00
Gymnomyces	#CAB2D6
Heterobasidion	#6A3D9A
Hygrocybe	#FFFF99
Hygrophorus	#B15928
Inocybe	#FBB4AE
Kockovaella	#B3CDE3
Laccaria	#CCEBC5
Lactarius	#DECBE4
Lobosporangium	#FED9A6
Metarhizium	#FFFFCC
Neurospora	#E5D8BD
Oidiodendron	#FDDAEC
Pachyphlodes	#F2F2F2
Penicillium	#B3E2CD
Phanerochaete	#FDCDAC
Pichia	#CBD5E8
Piloderma	#F4CAE4
Pleurotus	#E6F5C9
Pochonia	#FFF2AE
Polyporus	#F1E2CC
Postia	#CCCCCC
Pseudocercospora	#E41A1C
Pseudogymnoascus	#377EB8
Puccinia	#4DAF4A
Punctularia	#984EA3
Ramaria	#FF7F00
Russula	#E5C494
Serpula	#FFFF33
Sordaria	#A65628
Stereum	#F781BF
Tomentella	#999999
Trametes	#66C2A5
Trichoderma	#FC8D62
Tricholoma	#8DA0CB
Tuber	#E78AC3
Zymoseptoria	#A6D854
